step,value
944,520.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
2856,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
4768,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
6680,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
8592,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
10272,1000.0
10504,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
12184,1000.0
12416,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
14096,1000.0
14328,1000.0
15152,456.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
16008,1000.0
16144,474.0
17064,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17920,1000.0
18976,1000.0
19104,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19832,1000.0
20888,1000.0
20992,626.0
21016,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
22800,1000.0
22904,1000.0
22928,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
24680,1000.0
24712,1000.0
24816,1000.0
24840,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
26592,1000.0
26624,1000.0
26728,1000.0
26752,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
27480,420.0
28504,1000.0
28536,1000.0
28664,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
29392,1000.0
30416,1000.0
30448,1000.0
30576,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
31304,1000.0
32328,1000.0
32360,1000.0
32488,1000.0
32496,1000.0
32496,1000.0
32496,1000.0
32496,1000.0
33216,1000.0
34240,1000.0
34272,1000.0
34400,1000.0
34408,1000.0
34408,1000.0
34408,1000.0
34408,1000.0
35128,1000.0
36152,1000.0
36184,1000.0
36312,1000.0
36320,1000.0
36320,1000.0
36320,1000.0
36320,1000.0
37040,1000.0
38064,1000.0
38096,1000.0
38224,1000.0
38232,1000.0
38232,1000.0
38232,1000.0
38232,1000.0
38952,1000.0
39976,1000.0
40008,1000.0
40136,1000.0
40144,1000.0
40144,1000.0
40144,1000.0
40144,1000.0
40384,761.0
41888,1000.0
41920,1000.0
42048,1000.0
42056,1000.0
42056,1000.0
42056,1000.0
42056,1000.0
42296,1000.0
43800,1000.0
43832,1000.0
43960,1000.0
43968,1000.0
43968,1000.0
43968,1000.0
43968,1000.0
44208,1000.0
45712,1000.0
45744,1000.0
45872,1000.0
45880,1000.0
45880,1000.0
45880,1000.0
45880,1000.0
46120,1000.0
47528,747.0
47624,1000.0
47656,1000.0
47784,1000.0
47792,1000.0
47792,1000.0
47792,1000.0
47792,1000.0
49440,1000.0
49536,1000.0
49568,1000.0
49696,1000.0
49704,1000.0
49704,1000.0
49704,1000.0
49704,1000.0
51352,1000.0
51448,1000.0
51480,1000.0
51608,1000.0
51616,1000.0
51616,1000.0
51616,1000.0
51616,1000.0
53264,1000.0
53360,1000.0
53392,1000.0
53520,1000.0
53528,1000.0
53528,1000.0
53528,1000.0
53528,1000.0
54528,612.0
55176,1000.0
55272,1000.0
55432,1000.0
55440,1000.0
55440,1000.0
55440,1000.0
55440,1000.0
56440,1000.0
57088,1000.0
57344,1000.0
57352,1000.0
57352,1000.0
57352,1000.0
57352,1000.0
58088,1000.0
58352,1000.0
59000,1000.0
59256,1000.0
59264,1000.0
59264,1000.0
59264,1000.0
59264,1000.0
60000,1000.0
60264,1000.0
60912,1000.0
61168,1000.0
61176,1000.0
61176,1000.0
61176,1000.0
61176,1000.0
61912,1000.0
62176,1000.0
62824,1000.0
63080,1000.0
63088,1000.0
63088,1000.0
63088,1000.0
63088,1000.0
63824,1000.0
64088,1000.0
64736,1000.0
64992,1000.0
65000,1000.0
65000,1000.0
65000,1000.0
65000,1000.0
65736,1000.0
66000,1000.0
66648,1000.0
66904,1000.0
66912,1000.0
66912,1000.0
66912,1000.0
66912,1000.0
67648,1000.0
67912,1000.0
68560,1000.0
68816,1000.0
68824,1000.0
68824,1000.0
68824,1000.0
68824,1000.0
69560,1000.0
69824,1000.0
70472,1000.0
70728,1000.0
70736,1000.0
70736,1000.0
70736,1000.0
70736,1000.0
71472,1000.0
71736,1000.0
72384,1000.0
72640,1000.0
72648,1000.0
72648,1000.0
72648,1000.0
72648,1000.0
73384,1000.0
73648,1000.0
74296,1000.0
74552,1000.0
74560,1000.0
74560,1000.0
74560,1000.0
74560,1000.0
75296,1000.0
75560,1000.0
76208,1000.0
76464,1000.0
76472,1000.0
76472,1000.0
76472,1000.0
76472,1000.0
77472,1000.0
78120,1000.0
78376,1000.0
78384,1000.0
78384,1000.0
78384,1000.0
78384,1000.0
78432,1000.0
79176,898.0
80032,1000.0
80288,1000.0
80296,1000.0
80296,1000.0
80296,1000.0
80296,1000.0
80344,1000.0
81088,1000.0
81416,581.0
81944,1000.0
82200,1000.0
82208,1000.0
82208,1000.0
82208,1000.0
82208,1000.0
83000,1000.0
83328,1000.0
83856,1000.0
84112,1000.0
84120,1000.0
84120,1000.0
84120,1000.0
84120,1000.0
84912,1000.0
85240,1000.0
85768,1000.0
85768,472.0
86024,1000.0
86032,1000.0
86032,1000.0
86032,1000.0
86032,1000.0
87152,1000.0
87680,1000.0
87680,1000.0
87936,1000.0
87944,1000.0
87944,1000.0
87944,1000.0
87944,1000.0
88976,560.0
89064,1000.0
89592,1000.0
89592,1000.0
89848,1000.0
89856,1000.0
89856,1000.0
90888,1000.0
90976,1000.0
91336,1000.0
91504,1000.0
91504,1000.0
91760,1000.0
91768,1000.0
91768,1000.0
92800,1000.0
92888,1000.0
93248,1000.0
93416,1000.0
93416,1000.0
93672,1000.0
93680,1000.0
93680,1000.0
94712,1000.0
94800,1000.0
95160,1000.0
95328,1000.0
95328,1000.0
95584,1000.0
95592,1000.0
95592,1000.0
96448,477.0
96624,1000.0
96712,1000.0
97072,1000.0
97240,1000.0
97240,1000.0
